ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
ITA2009,Italy,ITA,2009,-5.911710901,-4.2079614670000005,2.4698241320149426,48.31600189,-0.6679992699999957,-0.013637090768025661,7.749000072,1.0260000220000007,0.15261044390442935,0.7501491770000001,-2.624894884,-0.7777364788601496
ITA2010,Italy,ITA,2010,1.3742250059999999,7.285935907,-1.2324580868404005,48.02099991,-0.2950019800000021,-0.006105678625305644,8.362000465,0.6130003929999992,0.07910703152720266,1.539893392,0.7897442149999999,1.0527828853433507
ITA2011,Italy,ITA,2011,0.40380335,-0.9704216559999999,-0.706159218296163,47.8730011,-0.14799880999999715,-0.0030819601898621762,8.359000206000001,-0.003000258999998451,-0.00035879679899042394,2.741438213,1.201544821,0.7802779252396455
ITA2012,Italy,ITA,2012,-3.080609243,-3.484412593,-8.628983868013972,48.70899963,0.8359985299999977,0.017462839404066566,10.65499973,2.295999523999999,0.27467394035377035,3.04136253,0.2999243169999999,0.1094040039194566
ITA2013,Italy,ITA,2013,-2.860797015,0.2198122279999999,-0.07135349233255539,48.27899933,-0.4300003000000032,-0.008827943568259333,12.14900017,1.4940004400000007,0.14021590594634392,1.219992129,-1.8213704009999998,-0.5988665879302458
ITA2014,Italy,ITA,2014,-0.800674505,2.0601225100000002,-0.720121874847524,48.48500061,0.2060012800000024,0.004266892082661622,12.68299961,0.5339994399999988,0.04395418820707775,0.241057543,-0.9789345859999999,-0.8024105752242932
ITA2015,Italy,ITA,2015,0.880421769,1.6810962740000002,-2.099600104039781,48.37900162,-0.10599899000000335,-0.00218622230929999,11.89599991,-0.7869996999999991,-0.06205154334148866,0.03878675,-0.202270793,-0.8390975469288675
ITA2016,Italy,ITA,2016,1.096284131,0.21586236199999997,0.2451806277407027,48.27999878,-0.09900283999999715,-0.002046401055929792,11.54100037,-0.35499953999999967,-0.029841925242583445,-0.123335389,-0.162122139,-4.17983303576608
GBR1996,United Kingdom,GBR,1996,2.2879504319999997,,,61.41699982,,,8.192000389,,,2.481100989,,
GBR1997,United Kingdom,GBR,1997,2.8619127339999997,0.573962302,0.25086308425758763,61.52600098,0.10900115999999826,0.001774771811053233,7.0720000270000005,-1.1200003619999999,-0.13671878769731338,1.777945905,-0.7031550840000003,-0.2834044591967233
GBR1998,United Kingdom,GBR,1998,2.8905128710000003,0.028600137000000636,0.009993364458750431,61.33300018,-0.19300080000000008,-0.0031368981719247513,6.203000069,-0.8689999580000007,-0.1228789528679679,1.5889239919999998,-0.18902191300000015,-0.10631477170842274
GBR1999,United Kingdom,GBR,1999,2.939568855,0.049055983999999775,0.016971377118631725,61.72000122,0.38700104000000124,0.006309833839274637,6.043000221000001,-0.1599998479999991,-0.025793945868163304,1.335406567,-0.25351742499999985,-0.15955289634773162
GBR2000,United Kingdom,GBR,2000,3.374942208,0.43537335300000013,0.14810789421022097,61.89699936,0.17699814000000202,0.0028677598266579896,5.5619997979999996,-0.4810004230000011,-0.07959629412696012,0.7852694290000001,-0.5501371379999999,-0.41196228294420234
GBR2001,United Kingdom,GBR,2001,2.3313967680000003,-1.04354544,-0.3092039435597944,61.49100113,-0.40599823000000157,-0.006559255443687517,4.696000099,-0.8659996989999996,-0.15569934024654197,1.23589468,0.45062525099999984,0.5738479486892132
GBR2002,United Kingdom,GBR,2002,1.9646790230000002,-0.3667177450000001,-0.15729529612181403,61.67200089,0.18099975999999884,0.0029435162328441677,5.037000179,0.3410000799999997,0.0726150069870346,1.2561924979999999,0.020297817999999967,0.01642358230719143
GBR2003,United Kingdom,GBR,2003,2.985577498,1.0208984749999999,0.5196260880523484,61.83399963,0.16199874000000136,0.0026267793757648317,4.80700016,-0.23000001899999933,-0.04566210260601211,1.362921545,0.10672904700000019,0.08496233433166078
GBR2004,United Kingdom,GBR,2004,1.9462080959999999,-1.0393694020000002,-0.3481301030357645,61.81700134,-0.016998290000003635,-0.0002749019973108391,4.5939998630000005,-0.21300029699999978,-0.04431044100485315,1.3445957590000002,-0.0183257859999999,-0.013445958109056022
GBR2005,United Kingdom,GBR,2005,2.2674994330000002,0.32129133700000034,0.16508580848078047,61.87599945,0.058998110000004544,0.0009543994163596636,4.75,0.15600013699999948,0.033957366489368424,2.049668311,0.7050725519999999,0.5243751122079805
GBR2006,United Kingdom,GBR,2006,1.752323879,-0.5151755540000003,-0.2271998601200974,62.37099838,0.4949989300000013,0.007999853487619113,5.349999905,0.5999999049999998,0.12631576947368406,2.333527794,0.2838594830000001,0.1384904481747633
GBR2007,United Kingdom,GBR,2007,1.760352735,0.008028855999999918,0.004581833356389398,62.17100143,-0.19999695000000628,-0.00320656964285726,5.262000083999999,-0.08799982100000037,-0.0164485649649746,2.321035915,-0.01249187900000015,-0.00535321628999641
GBR2008,United Kingdom,GBR,2008,-1.406231896,-3.166584631,-1.798835294791075,62.47200012,0.3009986900000001,0.004841464397817408,5.614999771,0.3529996870000005,0.06708469809290873,3.6134988860000004,1.2924629710000004,0.5568474673947474
GBR2009,United Kingdom,GBR,2009,-5.048663909,-3.642432013,2.5902072221237686,62.29399872,-0.17800139999999942,-0.002849298880427731,7.537000179,1.9220004079999997,0.34229750425398553,2.166231372,-1.4472675140000004,-0.4005169393042398
GBR2010,United Kingdom,GBR,2010,1.119383533,6.168047442,-1.221718766227344,62.06100082,-0.23299790000000087,-0.0037402944872311217,7.787000179,0.25,0.03316969537781933,3.285714286,1.1194829140000002,0.5167882473082384
