ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
DMA2012,Dominica,DMA,2012,-1.517450839,-0.8997056500000001,1.456434895845057,,,,,,,1.3567714780000002,-1.0308595009999997,-0.431749927047667
DMA2013,Dominica,DMA,2013,0.275138637,1.792589476,-1.181316343125367,,,,,,,-0.046411647,-1.4031831250000002,-1.0342074164681105
DMA2014,Dominica,DMA,2014,3.645828792,3.370690155,12.250879017765868,,,,,,,0.7991397640000001,0.8455514110000001,-18.218517670790696
DMA2015,Dominica,DMA,2015,-2.2777587980000003,-5.92358759,-1.6247574770921935,,,,,,,-0.786338877,-1.5854786410000001,-1.9839816668164194
DMA2016,Dominica,DMA,2016,0.36725812700000005,2.645016925,-1.161236618786183,,,,,,,0.231336293,1.01767517,-1.294194144237892
DOM1996,Dominican Republic,DOM,1996,5.307531200000001,,,63.82699966,,,16.70000076,,,5.39929385,,
DOM1997,Dominican Republic,DOM,1997,6.226679517999999,0.9191483179999986,0.17317812809089062,63.63000107,-0.19699858999999975,-0.0030864460345839673,15.60000038,-1.1000003800000009,-0.06586828322994642,8.296567547999999,2.8972736979999985,0.5366023369889377
DOM1998,Dominican Republic,DOM,1998,5.29635151,-0.9303280079999992,-0.14940997128736433,63.46900177,-0.1609993000000003,-0.002530241981653969,14.39999962,-1.2000007600000018,-0.0769231237672574,4.831665586000001,-3.464901961999998,-0.4176307782650742
DOM1999,Dominican Republic,DOM,1999,5.0348596389999996,-0.2614918710000005,-0.04937207632580276,63.30699921,-0.1620025599999977,-0.0025524674326384833,13.80000019,-0.5999994299999987,-0.04166662818286926,6.470541868,1.6388762819999991,0.33919489104310685
DOM2000,Dominican Republic,DOM,2000,4.009187378,-1.0256722609999995,-0.2037141717030495,63.16899872,-0.13800049000000314,-0.0021798614959182006,14.19999981,0.3999996199999991,0.028985479311069318,7.724135662,1.2535937940000004,0.19373861101179735
DOM2001,Dominican Republic,DOM,2001,0.234715263,-3.774472115,-0.9414556515148242,63.46900177,0.3000030500000008,0.004749213317909007,15.69999981,1.5,0.10563380423031155,8.883068488,1.1589328259999991,0.15004045458465165
DOM2002,Dominican Republic,DOM,2002,4.169347835,3.934632572,16.76342868252245,63.79800034,0.3289985700000031,0.005183610279428041,16.10000038,0.40000057000000133,0.025477743620431426,5.223367698000001,-3.6597007899999987,-0.41198610535805646
DOM2003,Dominican Republic,DOM,2003,-1.760220748,-5.929568583,-1.4221813141191182,64.02600098,0.22800064000000475,0.0035737897549283915,16.70000076,0.6000003800000009,0.03726710346822992,27.44971274,22.226345042,4.255175267578874
DOM2004,Dominican Republic,DOM,2004,-0.19317521,1.5670455380000001,-0.8902551227057801,64.26200104,0.23600005999999496,0.0036860034421595245,18.39999962,1.6999988599999973,0.10179633428950807,51.46085983,24.011147089999998,0.8747321808949466
DOM2005,Dominican Republic,DOM,2005,7.671067834,7.864243043999999,-40.7104153995743,64.59500122,0.3330001799999991,0.005181914266764398,18.0,-0.3999996199999991,-0.021739110231568493,4.190202605,-47.270657224999994,-0.918574959321662
DOM2006,Dominican Republic,DOM,2006,9.091369571,1.420301737,0.18515045984926437,64.95300293,0.35800170999999636,0.005542250998350484,16.39999962,-1.6000003800000009,-0.0888889100000001,7.572805239,3.3826026340000004,0.8072646964525481
DOM2007,Dominican Republic,DOM,2007,7.188993804,-1.9023757669999997,-0.2092507352322659,65.26799774,0.31499481000000173,0.004849580401070419,15.69999981,-0.6999998099999996,-0.04268291623289677,6.143566552,-1.4292386869999998,-0.18873305755169967
DOM2008,Dominican Republic,DOM,2008,1.7939631169999999,-5.395030687,-0.7504569949689165,63.87200165,-1.395996089999997,-0.021388676508218518,14.19999981,-1.5,-0.09554140243011888,10.6446211,4.501054548,0.732645200455216
DOM2009,Dominican Republic,DOM,2009,-0.410140874,-2.2041039909999998,-1.2286228017250813,62.46099854,-1.411003110000003,-0.02209110523468305,14.89999962,0.6999998099999996,0.04929576192719676,1.442151318,-9.202469782,-0.8645183041789999
DOM2010,Dominican Republic,DOM,2010,6.891948697999999,7.302089571999999,-17.80385724735155,63.85400009,1.393001550000001,0.02230194173261446,12.39999962,-2.5,-0.16778523917841548,6.329932201,4.887780883,3.3892288707806735
DOM2011,Dominican Republic,DOM,2011,1.7743654580000001,-5.117583239999999,-0.7425451732519556,65.06300354,1.2090034499999973,0.018933871774609923,14.69999981,2.3000001900000004,0.18548389197450632,8.46016881,2.1302366090000007,0.33653387451187333
DOM2012,Dominican Republic,DOM,2012,1.499692733,-0.27467272500000006,-0.15480053658709136,65.21499634,0.15199280000000215,0.0023360864351513744,14.73999977,0.03999996000000117,0.002721085749456398,3.694524905,-4.765643905000001,-0.5633036422827596
DOM2013,Dominican Republic,DOM,2013,3.4548975889999998,1.9552048559999997,1.3037369675645416,65.42900085,0.2140045099999952,0.003281522993335395,15.02000046,0.2800006899999996,0.01899597655149754,4.830950967,1.1364260619999995,0.30759734775695047
DOM2014,Dominican Republic,DOM,2014,6.320988449,2.86609086,0.8295733190834098,65.3010025,-0.1279983499999986,-0.001956293819822208,14.5,-0.5200004600000003,-0.03462053555756017,2.998642261,-1.8323087059999996,-0.3792853039735685
DOM2015,Dominican Republic,DOM,2015,5.7949848379999995,-0.5260036110000001,-0.0832154045595852,65.30899811,0.007995610000008924,0.000122442377511911,14.39700031,-0.10299969000000075,-0.0071034268965517455,0.8367463470000001,-2.161895914,-0.7209582623834034
DOM2016,Dominican Republic,DOM,2016,5.439550702999999,-0.3554341350000003,-0.06133478256392988,65.31400299,0.005004880000001322,7.66338505389097e-05,14.36299992,-0.034000389999999214,-0.0023616301498849968,1.614166072,0.7774197249999999,0.9290984391952175
ECU1996,Ecuador,ECU,1996,-0.38322479299999995,,,66.05500031,,,10.38000011,,,24.37308869,,
ECU1997,Ecuador,ECU,1997,2.214937744,2.5981625370000003,-6.77973498703149,66.375,0.31999969000000306,0.004844443092850259,9.170000076,-1.2100000339999983,-0.11657032959318514,30.64298008,6.2698913900000015,0.257246484831956
ECU1998,Ecuador,ECU,1998,1.2384316579999999,-0.9765060860000003,-0.44087292685550095,66.72499847,0.3499984700000027,0.005273046629001854,11.48999977,2.319999694,0.25299887402094723,36.09843316,5.455453079999998,0.1780327195905027
ECU1999,Ecuador,ECU,1999,-6.5434281510000005,-7.781859809,-6.28364089268138,67.31099701,0.5859985399999914,0.008782293794483254,14.39999962,2.9099998499999984,0.2532636995866535,52.24235091,16.14391775,0.4472193482316782
ECU2000,Ecuador,ECU,2000,-0.7485859690000001,5.794842182,-0.8855972814669636,67.77200317,0.4610061600000108,0.0068488981069694255,9.0,-5.399999619999999,-0.37499998350694397,96.09411369,43.85176278,0.8393910690494231
ECU2001,Ecuador,ECU,2001,2.201541046,2.950127015,-3.9409328215714923,68.11799622,0.3459930499999899,0.005105250454706223,10.71000004,1.7100000400000006,0.19000000444444454,37.67802094,-58.41609275,-0.607905005903385
