,ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change
58,ATG2012,Antigua and Barbuda,ATG,2012,2.7022822630000003,5.551384189,-1.9484680903620293,,,,,,3.376880443,-0.07986922899999982,-0.0231052973395639,13.664938350155099,2.105527715919297,0.18214836227751108,10.1697546980117,0.6042005748272281,0.06316420011286117,13.1303834551371,2.7343267177004997,0.2630157555656736,11.005285750581601,0.2138058611250031,0.019812469032527646,24.8396941531685,0.02750077672230233,0.0011083573429024882
59,ATG2013,Antigua and Barbuda,ATG,2013,-1.268239597,-3.97052186,-1.4693216598298784,,,,,,1.059497824,-2.317382619,-0.6862495306292962,16.717701812390303,3.052763462235204,0.22340118806321246,9.761066058677859,-0.4086886393338407,-0.04018667622472194,18.5902066540658,5.459823198928699,0.4158159750309967,10.3804051669281,-0.6248805836535016,-0.056780041683195615,21.409152583942895,-3.4305415692256034,-0.13810723868304994
60,ATG2014,Antigua and Barbuda,ATG,2014,3.490909255,4.759148852,-3.752562893681674,,,,,,1.089441574,0.02994374999999994,0.028262210003368482,11.4307130739049,-5.286988738485403,-0.31625092957256584,9.66280735258017,-0.09825870609768828,-0.010066390853930685,11.0989529992853,-7.491253654780499,-0.4029677450165468,9.9086123817795,-0.4717927851485992,-0.045450324680170295,17.8251307474568,-3.584021836486098,-0.1674060578733113
61,ATG2015,Antigua and Barbuda,ATG,2015,3.034905259,-0.4560039960000002,-0.13062613854739125,,,,,,0.968993459,-0.12044811499999995,-0.1105594993568696,13.8084177349214,2.3777046610165,0.20801017798658128,9.82228057038056,0.15947321780038948,0.016503818401989227,14.597397290829802,3.498444291544501,0.3152048929092481,9.02228450292957,-0.8863278788499294,-0.08945025243693637,19.3079807603675,1.4828500129106992,0.0831887313433739
62,ATG2016,Antigua and Barbuda,ATG,2016,3.300525322,0.2656200630000001,0.08752169848212055,,,,,,-0.489437796,-1.4584312550000005,-1.5050991742556232,13.4368834036639,-0.3715343312575001,-0.026906365261379128,8.45058758940794,-1.3716929809726202,-0.13965117073818978,14.8629903762832,0.2655930854533981,0.01819455072448051,8.816940512631142,-0.2053439902984291,-0.022759644769764557,19.2730399351621,-0.03494082520539976,-0.001809657138105325
64,BHS1997,"Bahamas, The",BHS,1997,0.93125743,-1.9554620459999998,-0.6773994017283583,-1.5979995699999991,-0.021850594115140683,9.800000191,-1.6999998089999997,-0.14782607034782602,0.544150383,-0.8349870290000001,-0.6054415040406431,,,,,,,,,,,,,,,
65,BHS1998,"Bahamas, The",BHS,1998,3.6009325430000003,2.6696751130000003,2.8667423496422466,-1.9740066500000069,-0.027594975173025785,7.650000095,-2.1500000960000003,-0.2193877606221365,1.336613366,0.792462983,1.456330837499383,,,,,,,,,,,,,,,
66,BHS1999,"Bahamas, The",BHS,1999,5.8623653760000005,2.261432833,0.628013106603758,0.4490051300000033,0.006454840345883062,7.800000191,0.1500000960000003,0.019607855442778318,1.25424826,-0.08236510599999991,-0.061622237286530275,28.5832595287231,,,34.7996565962265,,,28.0434980708519,,,26.420529447825494,,,17.837627054951106,,
67,BHS2000,"Bahamas, The",BHS,2000,2.639573548,-3.2227918280000005,-0.5497425733977316,0.4430007899999993,0.006327678566758532,7.604000092000001,-0.19600009899999996,-0.025128217205193648,1.606329417,0.35208115700000003,0.2807108992919791,,,,,,,,,,,,,,,
68,BHS2001,"Bahamas, The",BHS,2001,0.849944952,-1.789628596,-0.6779991401853525,0.4959945700000077,0.007040077063752871,6.900000095,-0.7039999970000004,-0.09258284961630436,2.044989775,0.4386603579999999,0.2730824408478101,,,,,,,,,,,,,,,
69,BHS2002,"Bahamas, The",BHS,2002,0.704069024,-0.14587592799999993,-0.17162985397670782,0.4920043899999911,0.006934620746402942,9.100000381000001,2.2000002860000007,0.31884061676958586,2.173577925,0.12858815000000012,0.06287960535157211,25.0237991751296,,-0.12452954674454207,31.6164193256272,,-0.09147323801305772,24.361704930563,,-0.13128865489557862,25.626338138077895,,-0.030059628869888663,13.4856939094116,,-0.2439748926318962
70,BHS2003,"Bahamas, The",BHS,2003,-3.325155838,-4.0292248619999995,-5.722769678331993,0.4280014099999931,0.0059909771514543575,10.84000015,1.7399997689999989,0.19120875781862207,3.025045263,0.851467338,0.3917353632490539,,,,,,,,,,,,,,,
71,BHS2004,"Bahamas, The",BHS,2004,-1.237831477,2.0873243610000003,-0.6277373039621128,0.3569946200000089,0.004967296102741603,10.19999981,-0.6400003400000003,-0.05904062095423501,0.981914037,-2.043131226,-0.6754051752514223,,,,,,,,,,,,,,,
72,BHS2005,"Bahamas, The",BHS,2005,1.28404388,2.521875357,-2.0373333558393587,0.3260040300000071,0.004513665984388293,10.19999981,0.0,0.0,1.591606181,0.6096921439999999,0.6209221184603555,,,,,,,,,,,,,,,
73,BHS2006,"Bahamas, The",BHS,2006,0.507920385,-0.776123495,-0.6044368943217111,0.4140014700000023,0.005706272175443504,7.599999905,-2.599999905,-0.2549019562187619,2.3898262740000003,0.7982200930000003,0.5015185933108666,23.8727418312773,,-0.045998504695334286,31.1210204389857,,-0.015669038341731056,22.4100476625571,,-0.08011168650012856,25.8307649403365,,0.00797721473731938,15.544482907520099,,0.15266466908845389
74,BHS2007,"Bahamas, The",BHS,2007,-0.479114897,-0.987035282,-1.9432873953267304,0.395996089999997,0.005427131423391796,7.880000113999999,0.2800002089999998,0.03684213322368457,2.492577949,0.10275167499999993,0.042995457920051335,,,,,,,,,,,,,,,
75,BHS2008,"Bahamas, The",BHS,2008,-4.10245982,-3.6233449230000003,7.562580386641577,0.35199738000000025,0.004798088688299895,8.180000305,0.3000001910000005,0.03807108967765172,4.489559954,1.996982005,0.8011713358056347,,,,,,,,,,,,,,,
76,BHS2009,"Bahamas, The",BHS,2009,-5.849658432999999,-1.7471986129999992,0.4258904875758172,0.3070068299999917,0.004164837655705078,14.25,6.069999695,0.7420537247767254,2.062734735,-2.426825219,-0.5405485713221863,,,,,,,,,,,,,,,
77,BHS2010,"Bahamas, The",BHS,2010,-0.134788317,5.714870115999999,-0.9769579166811501,0.158996590000001,0.0021479928940364434,14.32999992,0.07999992000000056,0.005614029473684168,1.344027384,-0.7187073509999997,-0.34842451567093996,20.2192801995151,,-0.15303904585335693,34.0633542898279,,0.09454490274863557,16.0654457186569,,-0.2831141655490905,32.015362922253104,,0.239427597138594,15.0162222587006,,-0.03398380325433259
79,BHS2012,"Bahamas, The",BHS,2012,1.5642695780000002,2.526651273,-2.6254149326894667,0.011001589999992234,0.0001483914000579567,14.02000046,-0.5,-0.0344352606170647,1.984598107,-1.21418331,-0.3795768299600573,,,,,,,,,,,,,,,
80,BHS2013,"Bahamas, The",BHS,2013,-1.366316078,-2.9305856560000003,-1.8734530781752503,0.025001520000003552,0.00033717490875417866,16.20000076,2.180000300000001,0.15549217036188326,0.34687809700000005,-1.6377200099999998,-0.8252149411125079,14.0463544967943,,-0.2780568289989087,26.3946681140597,,-0.21057020263256576,6.87518215600526,,-0.5331072139734523,33.0179074572425,,0.04858861291522487,3.6895932851147206,,-0.8039640233463705
83,BHS2016,"Bahamas, The",BHS,2016,-0.8693605670000001,1.97085646,-0.6939105150291038,-0.028999330000004875,-0.0003912219898820624,15.31299973,-0.7649993800000008,-0.047580508915701765,-0.34637693,-2.217184673,-1.185148330338079,,,,,,,,,,,,,,,
85,BLZ1997,Belize,BLZ,1997,-0.160105603,1.597729957,-0.908918896258988,0.3830032299999999,0.0064592839500883245,12.69999981,-1.1000003800000009,-0.07971017136630931,1.149037568,-4.815983407,-0.8073707413912321,,,,,,,,,,,,,,,
86,BLZ1998,Belize,BLZ,1998,-0.16840758,-0.008301976999999988,0.0518531322104947,0.4259986900000001,0.007138286805965287,14.30000019,1.6000003800000009,0.12598428377456816,2.1952625,1.046224932,0.910522824611423,,,,,,,,,,,,,,,
