,year,ctrycode,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change,Animal_tariff,Animal_delta,Animal_%change,Chemicals_tariff,Chemicals_delta,Chemicals_%change,Food Products_tariff,Food Products_delta,Food Products_%change,Footwear_tariff,Footwear_delta,Footwear_%change,Fuels_tariff,Fuels_delta,Fuels_%change,Hides and Skins_tariff,Hides and Skins_delta,Hides and Skins_%change,Mach and Elec_tariff,Mach and Elec_delta,Mach and Elec_%change,Metals_tariff,Metals_delta,Metals_%change,Minerals_tariff,Minerals_delta,Minerals_%change,Miscellaneous_tariff,Miscellaneous_delta,Miscellaneous_%change,Plastic or Rubber_tariff,Plastic or Rubber_delta,Plastic or Rubber_%change,Stone and Glass_tariff,Stone and Glass_delta,Stone and Glass_%change,Textiles and Clothing_tariff,Textiles and Clothing_delta,Textiles and Clothing_%change,Transportation_tariff,Transportation_delta,Transportation_%change,Vegetable_tariff,Vegetable_delta,Vegetable_%change,Wood_tariff,Wood_delta,Wood_%change,ctryyear
5,2001,GRD,15.814430358787599,4.501717215860898,0.3979343557098509,17.3007009257583,10.37172209381826,1.4968615643633432,16.5209075185534,1.9024509099390006,0.13014033976869488,12.1067317381394,4.04904260529403,0.5025066788428225,14.5648619394815,0.38558355973309943,0.027193454378031667,11.613593774939899,0.2660965900054002,0.023449804451917577,14.3195650540168,1.3660126772733001,0.10545467664343611,21.893589644792105,0.46171806938850324,0.021543525387600626,18.968263967385898,-0.03693222105940208,-0.0019432696560036655,10.4743265548586,1.5212417750116707,0.1699125845916183,20.0,0.5474824355971997,0.02814455423492679,20.7849521799069,13.505151674359249,1.8551540889159672,14.2786315855398,5.748407460817321,0.6738870370541803,15.0388537157602,6.996431413265759,0.8699408151068793,16.504160758327803,2.0404846525622027,0.141076489658726,16.3517424812431,4.191545969229601,0.34469393361271927,15.586666672776301,3.0086612012436014,0.2392001822588632,19.7668563880212,5.2820219447336,0.36465877227760357,20.277756739818802,5.820901792143102,0.4026395653280701,14.9135977126576,-1.6758597215248994,-0.10101956186172778,10.888302056626802,2.3260206830194132,0.271658986843063,GRD2001
6,2002,GRD,12.0446831008492,-3.7697472579383984,-0.23837388843055385,7.95184544237347,-9.34885548338483,-0.5403743769401681,14.709441149642501,-1.8114663689108994,-0.10964690449822911,8.15605882085295,-3.9506729172864503,-0.3263203482770489,13.9005924059988,-0.6642695334826989,-0.04560767800222254,11.6130059201285,-0.0005878548113980031,-5.061782104576196e-05,13.149180086034901,-1.1703849679818994,-0.08173327636467509,20.4320608018678,-1.4615288429243058,-0.06675601701852318,19.032182466155803,0.06391849876990463,0.003369760083463902,9.12712968466967,-1.3471968701889292,-0.12861894873461066,19.3392253250103,-0.6607746749896997,-0.03303873374948496,8.50334421667801,-12.281607963228888,-0.5908894019540583,9.088218358532211,-5.190413227007589,-0.363509149732808,8.31973447152362,-6.719119244236579,-0.4467840017085327,14.8146206603454,-1.6895400979824036,-0.10237055508138349,12.566353793624101,-3.7853886876189993,-0.23149757232057533,11.8510411588118,-3.735625513964502,-0.23966801833833729,15.1967614895257,-4.570094898495499,-0.23119988372379718,14.9503958255037,-5.327360914315102,-0.26271944094555233,15.0774646752853,0.16386696262770073,0.010987755321348214,9.150721403994538,-1.7375806526322641,-0.15958233373721875,GRD2002
7,2003,GRD,11.4314308125107,-0.6132522883385008,-0.050914771538926096,7.92101899671744,-0.030826445656029655,-0.0038766404452182934,13.9031977957903,-0.8062433538522011,-0.05481128383125533,8.42365544460181,0.26759662374885984,0.03280955049817491,14.0929384386049,0.19234603260609973,0.013837254340548277,11.802937958526302,0.18993203839780115,0.016355114231759504,12.608830645862101,-0.5403494401728004,-0.041093774413104245,21.314459532809,0.8823987309412011,0.04318696677236478,19.075706785159,0.043524319003196865,0.0022868800822288815,8.995117766341268,-0.1320119183284021,-0.014463683862204202,19.507874572627102,0.168649247616802,0.008720579277738505,8.990748322395369,0.48740410571735815,0.0573191080235691,8.9320176547388,-0.15620070379341122,-0.017187164483869033,7.91405336610794,-0.40568110541568014,-0.04876130443876847,14.783322796051099,-0.03129786429430048,-0.0021126335268291108,12.3921068881971,-0.17424690542700105,-0.013866146719138994,11.781174502349998,-0.06986665646180157,-0.005895402397607219,15.9159094497381,0.7191479602123998,0.04732244831953625,12.610619179749,-2.3397766457547,-0.15650265538543828,17.3015389042945,2.224074229009199,0.14750982853601768,5.783971075860231,-3.366750328134307,-0.3679218478517583,GRD2003
8,2004,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2004
9,2005,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2005
10,2006,GRD,11.804663466544199,,0.03264968840339999,8.79685989389057,,0.11057174557163507,13.830273025907099,,-0.005245179630925079,8.24932481845655,,-0.020695365247515807,16.1062113104479,,0.14285685562409234,12.3481863462977,,0.04619598863328078,12.763186267203698,,0.012241866488408526,20.927353822797002,,-0.01816164793745445,19.353846922945603,,0.014580856212520477,8.09431098805201,,-0.10014396717072205,19.5627218732933,,0.0028115467147382667,9.56229713760551,,0.06357077238904019,8.22710030180888,,-0.07892028208832891,8.22106652544135,,0.03879341534998959,15.4731857596051,,0.04666494624187445,13.1612574726633,,0.062067781645652076,12.1701428665395,,0.03301609394818095,16.4062930625861,,0.030810907438033386,15.204392413338802,,0.20568167166248763,19.482909875875002,,0.12607959232106536,5.230441781505441,,-0.09570056404067784,GRD2006
11,2007,GRD,12.6258300835879,0.8211666170437013,0.06956289938895632,9.064918129341711,0.26805823545114116,0.03047203646352359,15.4638985692663,1.6336255433592015,0.11811954401037972,8.26015935088212,0.01083453242556942,0.0013133841452488415,16.1127615369401,0.0065502264921981634,0.00040668946693567243,12.231551867839698,-0.11663447845800157,-0.009445474435439749,12.7332235504739,-0.029962716729798444,-0.0023475890817946654,20.875321396377302,-0.05203242641970007,-0.002486335676277429,19.540873747745,0.18702682479939625,0.009663547797190697,6.334447790968009,-1.7598631970840009,-0.21741976552194864,19.665107854555302,0.10238598126200316,0.005233728819800776,9.88114017153874,0.31884303393323066,0.03334376973910591,8.44620510085612,0.21910479904724056,0.026632080685714543,8.25053125080865,0.02946472536730127,0.003584051445894243,15.835323971543,0.36213821193789997,0.023404243803710534,13.1013526096597,-0.05990486300359876,-0.004551606343696668,11.987950342060499,-0.18219252447900125,-0.014970450756163323,17.097208677402,0.6909156148158999,0.042112841223804987,15.341295442980302,0.13690302964150014,0.009004176287991328,18.2642263109975,-1.2186835648775016,-0.0625514141697362,7.712442029402079,2.4820002478966385,0.4745297532366879,GRD2007
12,2008,GRD,12.720397899034701,0.09456781544680126,0.0074900275721061504,8.27110699541668,-0.7938111339250309,-0.08756958668557513,16.018507264920302,0.554608695654002,0.03586473961723069,8.28807913965532,0.027919788773200338,0.0033800544986120062,15.7255941995258,-0.387167337414299,-0.024028614618709532,11.7337585866082,-0.49779328123149824,-0.04069747539887736,12.9106410070947,0.1774174566208,0.013933428241287515,20.9311552511607,0.05583385478339764,0.0026746344989490023,19.656444768790198,0.11557102104519856,0.005914322078793166,6.6550859077044295,0.3206381167364203,0.05061816393744745,19.6682277389797,0.0031198844243967017,0.00015865076598986505,8.66649429018888,-1.2146458813498615,-0.12292568066673937,8.481061814861691,0.034856714005570666,0.004126908308446975,8.2545212512131,0.003990000404449745,0.0004836052713645955,15.083806310391099,-0.751517661151901,-0.0474583066631552,13.438097930252301,0.3367453205926001,0.025703095750916338,11.691540090327301,-0.2964102517331977,-0.024725682312281783,16.3765239142575,-0.7206847631445008,-0.042152188508821076,15.700574982699301,0.3592795397189992,0.023419113532775038,18.5159718612021,0.25174555020459977,0.013783532130951182,8.69025839264696,0.9778163632448811,0.1267842739714813,GRD2008
13,2009,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2009
14,2010,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2010
15,2011,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2011
16,2012,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2012
17,2013,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2013
18,2014,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2014
19,2015,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2015
20,2016,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD2016
0,1996,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTM1996
1,1997,GTM,6.802583564636429,,,3.46586765777915,,,10.656330839862902,,,4.6064268041061,,,7.12550931545956,,,25.0736183791231,,,4.86250486116582,,,15.579497892012599,,,19.8999936446171,,,0.0187723386011537,,,12.1875565316132,,,4.05404879302443,,,4.39976740293258,,,9.63047615698409,,,11.4023360859765,,,5.278159897088059,,,11.1066609010506,,,13.9816280374327,,,8.981493205832699,,,8.26263878883623,,,7.31993944373166,,,GTM1997
2,1998,GTM,6.9838641122524905,0.18128054761606105,0.026648779231240427,3.11861592592935,-0.34725173184979985,-0.10019186135696567,11.578451036425099,0.9221201965621972,0.0865326171286609,3.85430145988972,-0.7521253442163798,-0.16327738965610972,9.84425858566148,2.7187492702019203,0.38155157053872646,15.888833429235302,-9.1847849498878,-0.36631270409440675,4.348511515404899,-0.5139933457609205,-0.10570546671652825,13.621808245783802,-1.957689646228797,-0.1256580706129482,25.8487905557167,5.948796911099599,0.29893461361525286,9.271375947933661,9.252603609332507,492.884973253352,10.106768924000901,-2.080787607612299,-0.17073049894906844,2.61728797462106,-1.43676081840337,-0.35440146178692333,3.71978276045709,-0.6799846424754903,-0.15455013417806118,8.29594607338516,-1.3345300835989296,-0.13857363455815408,9.983294604969279,-1.4190414810072216,-0.12445182025045476,4.9722656052705805,-0.30589429181747896,-0.057954722437688844,9.539307268989141,-1.567353632061458,-0.1411183474515909,16.5778336543102,2.5962056168775014,0.1856869321603134,10.2845992262536,1.303106020420902,0.14508790359877444,7.86153487304219,-0.4011039157940388,-0.04854428785341269,5.76159946414855,-1.5583399795831099,-0.2128897365288418,GTM1998
3,1999,GTM,5.9369661439237404,-1.04689796832875,-0.14990239665346183,2.65069311250231,-0.4679228134270401,-0.15004182128890997,10.2547768926142,-1.3236741438108997,-0.11432221284580313,3.53051723876235,-0.32378422112737004,-0.08400594102378134,4.61615292690264,-5.228105658758841,-0.5310817075014431,15.0238433508144,-0.8649900784209024,-0.05444012502700979,4.022359445870871,-0.32615206953402875,-0.07500315185520667,12.047185903605499,-1.5746223421783032,-0.11559569139182957,24.264002424909897,-1.5847881308068033,-0.06130995287345509,6.69919931351902,-2.5721766344146415,-0.2774320283051309,10.077219905147698,-0.029549018853202824,-0.002923686004439263,1.84080328570572,-0.7764846889153401,-0.2966752976533895,3.8162851607345294,0.09650240027743928,0.025943020464340494,7.532873868895639,-0.7630722044895206,-0.0919813361537618,8.28706020025072,-1.6962344047185596,-0.1699072772904291,4.2298295357273705,-0.74243606954321,-0.14931544862692592,8.04041677337218,-1.498890495616962,-0.15712781372392004,16.135690541644898,-0.4421431126653026,-0.026670741297391776,9.82658656270496,-0.4580126635486401,-0.044533836805178195,5.86025626227028,-2.0012786107719105,-0.25456588860712803,4.72562133184065,-1.0359781323078998,-0.1798073848684303,GTM1999
4,2000,GTM,5.80671173995732,-0.13025440396642018,-0.02193955646853918,2.57695450828946,-0.07373860421285006,-0.027818612371629525,9.295614374093859,-0.9591625185203405,-0.09353324100216731,3.20516958163886,-0.3253476571234901,-0.0921529722476424,7.1708695088753,2.5547165819726603,0.553429798021625,16.8774148108682,1.8535714600538,0.12337531860336681,3.9433334297535803,-0.07902601611729043,-0.01964668179976159,11.768579121521899,-0.27860678208359957,-0.023126295577477363,23.225498372429104,-1.0385040524807927,-0.04280019570945326,3.66005513677782,-3.0391441767411997,-0.45365782304882174,9.927314966472279,-0.14990493867541943,-0.014875624436740176,2.0412580398901103,0.2004547541843904,0.10889526096621505,3.7320453615898503,-0.08423979914467905,-0.02207376954201845,7.324882712605059,-0.2079911562905803,-0.027611129551684988,8.28703442881299,-2.5771437728749902e-05,-3.109840776560624e-06,4.06596273364804,-0.16386680207933058,-0.038740757918309776,7.96873950150941,-0.07167727186276895,-0.008914621453473104,13.533024467395,-2.602666074249898,-0.16129871030512322,10.351722445084,0.5251358823790397,0.05344031511126146,10.377576612015199,4.517320349744919,0.7708400703956411,4.63602710459995,-0.08959422724069999,-0.018959248096546588,GTM2000
5,2001,GTM,6.5160434553413795,0.7093317153840593,0.12215721171467564,3.09072779094164,0.5137732826521799,0.19937227490803244,9.698830034378151,0.40321566028429245,0.043376978008900835,3.60861255717905,0.40344297554019004,0.12587258342003316,6.90486094527396,-0.26600856360134006,-0.03709571946220813,12.9902515939684,-3.8871632168997987,-0.23031745444786145,4.1910232798127005,0.24768985005912025,0.06281230194490517,12.5856945647257,0.8171154432038001,0.06943195391442725,22.85958237611,-0.365915996319103,-0.015754925489714355,4.30970291027619,0.6496477734983701,0.17749671773259035,11.0931625004512,1.165847533978921,0.11743835447110929,2.73240172027275,0.6911436803826398,0.33858711974496236,4.16484970860291,0.4328043470130596,0.11596974449117758,5.9801635628499294,-1.3447191497551296,-0.1835823456177753,8.74247032447391,0.45543589566091924,0.05495764492994315,4.33197069417535,0.26600796052731024,0.06542311820173619,8.63222224666566,0.6634827451562506,0.08326068947674559,15.382303252962402,1.8492787855674013,0.13664933437627735,10.575611549371699,0.22388910428769826,0.021628198154986622,10.564123823402301,0.1865472113871025,0.017975989805858683,4.83158794301469,0.1955608384147398,0.042182850531805816,GTM2001
6,2002,GTM,6.10796525118623,-0.4080782041551494,-0.06262668549587969,2.7937983234250097,-0.2969294675166303,-0.09607105109252145,9.47891900003015,-0.21991103434800152,-0.022673975476270036,3.27324243110287,-0.3353701260761799,-0.09293603033359388,5.22727767776642,-1.67758326750754,-0.2429568503701387,12.458965262710302,-0.531286331258098,-0.04089884844915426,4.01033105292783,-0.18069222688487052,-0.04311410718122899,11.7959568077511,-0.7897377569745991,-0.06274884178327522,19.5264072366865,-3.3331751394235027,-0.1458108501101456,4.7846671253278705,0.4749642150516804,0.11020811061457647,12.4281673310677,1.3350048306164997,0.12034483679132979,2.49594449258814,-0.23645722768460997,-0.08653823701333585,4.15066203255934,-0.014187676043570185,-0.0034065277347857803,6.819814423059309,0.83965086020938,0.1404060025089402,8.65787590508809,-0.08459441938581946,-0.009676260398505887,4.39611978686713,0.06414909269178004,0.01480829331972,8.841113390137991,0.2088911434723304,0.024198999690145717,12.6442633577021,-2.738039895260302,-0.17799934445662402,10.644073080089,0.06846153071730221,0.006473529251494581,6.31883352884346,-4.245290294558841,-0.4018591949059146,5.10132413189609,0.2697361888813994,0.055827647569030026,GTM2002
7,2003,GTM,6.531077326918,0.4231120757317699,0.06927218121445544,3.2525135275435098,0.4587152041185001,0.16419052165374137,8.88095232157553,-0.59796667845462,-0.06308384726704785,4.58338093610017,1.3101385049972998,0.4002570944785988,7.75929407891367,2.53201640114725,0.48438528756887544,12.661173007274401,0.20220774456409885,0.016229898735596215,4.5178455365531,0.5075144836252701,0.12655176765388187,11.9591585804489,0.1632017726977999,0.013835399311614927,19.9345858409242,0.40817860423770114,0.020903927654996934,4.12244299085523,-0.6622241344726403,-0.13840547672943104,10.8616993167575,-1.5664680143101997,-0.12604175439401855,2.89803636427172,0.40209187168357996,0.1610980824604138,4.03219847034325,-0.11846356221608989,-0.028540883667910744,7.157891984272469,0.3380775612131597,0.049572838825356236,8.915301873346289,0.2574259682581985,0.029733155231170816,4.4095245218003605,0.013404734933230245,0.0030492196716920272,8.517030181736269,-0.32408320840172244,-0.0366563795871262,13.1951975666011,0.550934208899001,0.04357187076172431,10.729300339838,0.08522725974899892,0.00800701565159545,8.03407636695924,1.7152428381157803,0.2714492841576288,5.27580675469658,0.17448262280049054,0.03420339862537558,GTM2003
8,2004,GTM,6.1619130324450895,-0.36916429447291055,-0.056524257177508974,3.1965844796392995,-0.05592904790421027,-0.017195638828426674,8.50900622234327,-0.3719460992322592,-0.04188133048847109,3.72077620902183,-0.8626047270783399,-0.18820271304184866,8.92560884270472,1.1663147637910507,0.15031196806428282,12.331681579821101,-0.3294914274533003,-0.026023767881853677,4.2602281106821005,-0.25761742587099956,-0.05702218541706705,11.404720410601302,-0.5544381698475984,-0.04636096813316004,14.1212490253561,-5.8133368155681,-0.29162064674721044,3.53008484892577,-0.5923581419294601,-0.14369104515052888,11.9600266914851,1.0983273747275994,0.10111929475281034,2.8403366336689104,-0.05769973060280975,-0.01990994016298675,3.7616597163142504,-0.2705387540289994,-0.06709460261413402,6.052545553482631,-1.1053464307898384,-0.15442345780273548,9.179311494214712,0.26400962086842306,0.02961308821832742,4.05499564376604,-0.3545288780343201,-0.08040070449354708,9.416901396873119,0.8998712151368498,0.1056555155888157,9.92475482818262,-3.270442738418481,-0.2478509868390627,10.840680812750799,0.11138047291279918,0.010380963286044098,9.033280719786319,0.9992043528270784,0.12437078105659838,5.3329496011440405,0.05714284644746037,0.010831110596799531,GTM2004
9,2005,GTM,5.8238946106590905,-0.33801842178599895,-0.05485608446698098,3.0133901228482203,-0.1831943567910792,-0.05730940569784371,7.573692570434541,-0.9353136519087295,-0.1099204334170949,4.03979468408713,0.3190184750652998,0.0857397642706299,8.416862869256411,-0.5087459734483097,-0.05699846166394906,11.0506575664181,-1.2810240134030018,-0.10388072422330463,3.74930750473797,-0.5109206059441305,-0.11992799274363919,11.6155717772558,0.21085136665449866,0.018488078537944874,14.8609505323156,0.7397015069595003,0.05238215866254414,2.23032798596144,-1.2997568629643301,-0.3681942272180385,11.736189623455,-0.22383706803010028,-0.01871543214777771,2.64084003203221,-0.19949660163670035,-0.07023695687049858,3.44402194612889,-0.3176377701853603,-0.08444085699931103,4.864152434416191,-1.1883931190664399,-0.19634600162284432,8.66769654966981,-0.5116149445449025,-0.05573565564991989,3.9476037833606,-0.10739186040544046,-0.026483841128298047,8.97420421324949,-0.4426971836236291,-0.04701091845037553,9.30875048985795,-0.6160043383246698,-0.06206746151304876,10.792332908169401,-0.04834790458139793,-0.004459858694901397,8.58973712474282,-0.44354359504349894,-0.04910105296207279,5.66517163728096,0.3322220361369199,0.0622961139677094,GTM2005
10,2006,GTM,5.3854697199291905,-0.4384248907299,-0.0752803613457359,2.98816618741342,-0.025223935434800282,-0.008370617280366921,7.21435541062207,-0.35933715981247083,-0.047445437806020396,2.9913522152942003,-1.0484424687929295,-0.2595286520185729,10.771112495593801,2.35424962633739,0.27970630660225737,12.393464359236901,1.342806792818802,0.12151374565251793,3.6957063762963904,-0.053601128441579604,-0.014296274278341903,11.194671231463099,-0.4209005457927013,-0.03623588695107183,14.8794808522615,0.018530319945899265,0.0012469135070198867,2.2924701474126,0.06214216145116014,0.027862342149812536,12.980275893081998,1.2440862696269992,0.10600427477250962,2.53623721139548,-0.10460282063672999,-0.03960967698457474,3.6603941728909097,0.21637222676201961,0.06282544947346347,4.6434334878522305,-0.2207189465639603,-0.04537665082250897,8.64183693733164,-0.025859612338170024,-0.002983446892722008,4.0004200389032505,0.05281625554265057,0.013379320327251198,9.288750060030802,0.3145458467813125,0.03504999878617854,10.039597250525599,0.7308467606676494,0.07851180042519346,10.5260321154281,-0.26630079274130125,-0.024674997983033076,10.5685510402395,1.97881391549668,0.23036955459285102,4.24438518156828,-1.4207864557126806,-0.2507931880409182,GTM2006
11,2007,GTM,5.402248178142919,0.016778458213728698,0.0031155050694351427,2.54926837434648,-0.43889781306693987,-0.1468786491580153,7.169021737640719,-0.045333672981350936,-0.00628381475559181,3.5360790629167997,0.5447268476225995,0.1821005379565528,9.30600886599174,-1.4651036296020603,-0.13602156974977264,11.8224871186075,-0.5709772406294018,-0.046070834117003745,3.6719063075149703,-0.02380006878142016,-0.006439924160119848,11.3027649436069,0.10809371214380192,0.009655818371869573,14.8745472793666,-0.00493357289489893,-0.00033156888629948256,2.30524443154954,0.01277428413694004,0.0055722793822889916,11.5311540016661,-1.4491218914158992,-0.11164029974033352,2.5459952679585798,0.009758056563099693,0.0038474542204711693,3.7877694753723503,0.12737530248144058,0.034798247528856185,4.55480193356815,-0.08863155428408032,-0.019087503787003968,8.657414744179949,0.01557780684830945,0.0018026036549030344,3.87848197468974,-0.12193806421351061,-0.030481315218824134,8.59445169898278,-0.6942983610480216,-0.07474615600171708,8.967452243838661,-1.072145006686938,-0.10679163515556445,9.696690722421131,-0.8293413930069686,-0.07878955563810175,8.70103791829038,-1.86751312194912,-0.17670474550755433,5.5716217182015,1.3272365366332206,0.3127040737011557,GTM2007
12,2008,GTM,5.17095577445631,-0.2312924036866093,-0.04281410184419154,2.5852092014193198,0.03594082707283963,0.014098487014751138,6.881929367659099,-0.2870923699816199,-0.04004624068500873,3.34287528304065,-0.1932037798761499,-0.05463785634837648,7.826821429621849,-1.4791874363698918,-0.15894971277918024,12.7778036829149,0.9553165643074006,0.08080504167383018,3.62910851276051,-0.04279779475446022,-0.011655470257198486,10.952113238421301,-0.35065170518559974,-0.03102353335092012,14.8239906209263,-0.050556658440299884,-0.003398870398592213,2.39915105700101,0.09390662545146977,0.040736081678049096,11.3421380464562,-0.1890159552099,-0.01639176401447673,2.583317282258,0.03732201429942039,0.01465910591787778,3.4519809036816,-0.33578857169075027,-0.08865074125392525,4.712679429646389,0.15787749607823898,0.03466176979391955,8.900151025629029,0.24273628144907988,0.028037963828897228,3.7558983328674302,-0.12258364182230963,-0.0316060877998835,8.688129138464639,0.09367743948185847,0.010899757513669561,8.57361852053451,-0.39383372330415156,-0.043918128872640017,9.7390501734752,0.04235945105406813,0.004368444066811694,6.854903210631489,-1.8461347076588908,-0.21217407911510722,5.50381169054646,-0.06781002765504063,-0.012170608681762674,GTM2008
13,2009,GTM,5.48082824317912,0.30987246872281027,0.05992556932192894,2.48721575071644,-0.09799345070287968,-0.03790542392046248,7.072139562017111,0.1902101943580119,0.02763907971097246,3.6064482431682796,0.26357296012762976,0.07884618414118227,8.770228424255741,0.9434069946338921,0.12053513717119158,12.2224394594313,-0.5553642234836005,-0.043463198939750036,4.2022646793877705,0.5731561666272604,0.1579330473618945,11.03974814473,0.08763490630869875,0.008001643555078042,14.8423045239099,0.018313902983599917,0.0012354232710958257,2.38533887330614,-0.01381218369487014,-0.005757112981512602,11.241372165773301,-0.10076588068289816,-0.008884205100499698,2.6738697054353597,0.09055242317735956,0.035052768701415715,4.15830300190566,0.7063220982240597,0.20461355897732636,4.9372509432212,0.2245715135748112,0.047652618203156916,8.16698449990729,-0.7331665257217388,-0.08237686344990103,4.10568106440723,0.3497827315398001,0.09312891365532772,8.16070283845763,-0.5274263000070096,-0.060706544711905175,8.648496815379879,0.07487829484536945,0.00873356969009409,9.8228153962689,0.08376522279370135,0.00860096429340107,8.22648433532891,1.3715811246974212,0.20008759898610862,5.76592817092103,0.26211648037457014,0.04762453643259468,GTM2009
14,2010,GTM,5.31777356161791,-0.16305468156120995,-0.029750007540216394,2.5354420084890497,0.04822625777260958,0.019389655987309462,7.1972526788261995,0.12511311680908843,0.017690985268594472,3.3981351353494103,-0.20831310781886936,-0.057761291379539004,7.934229540659749,-0.835998883595992,-0.09532236142035677,11.422283612472699,-0.8001558469586012,-0.06546613297733872,4.07115538380647,-0.13110929558130024,-0.031199675790150705,10.9061270462749,-0.13362109845509984,-0.012103636487294844,14.8703488368484,0.028044312938499516,0.0018894850791750795,2.1904641111481102,-0.19487476215802957,-0.08169688774154271,11.692673564617,0.45130139884369846,0.04014646897091256,2.74963357272818,0.07576386729282047,0.02833491367915575,3.6856814735069703,-0.47262152839868943,-0.11365730880652447,4.898089781142599,-0.03916116207860121,-0.007931774691818938,8.49899240766714,0.33200790775985034,0.04065244739519458,3.91449079909376,-0.1911902653134705,-0.046567247264023504,9.03405405068068,0.8733512122230511,0.10701911704312406,8.3521280551799,-0.2963687601999787,-0.03426823950179847,9.48596542945506,-0.3368499668138405,-0.034292608913508604,7.80712098987032,-0.41936334545859033,-0.05097722530846138,5.4598062918059505,-0.3061218791150795,-0.05309151797258349,GTM2010
15,2011,GTM,5.160272186407769,-0.15750137521014107,-0.029617916856584214,2.38723490436206,-0.14820710412698945,-0.05845414867733878,6.98660008447635,-0.21065259434984984,-0.029268472811795898,3.21115915556009,-0.18697597978932023,-0.05502311483857292,7.9480325679176405,0.013803027257891287,0.0017396808583816092,11.557587794946,0.1353041824733019,0.011845633243211973,4.047112997848839,-0.024042385957630863,-0.005905543682577785,11.2757606763449,0.36963363007000005,0.033892290865642494,14.8865498031755,0.016200966327099664,0.0010894812559443245,2.23270305529748,0.04223894414936957,0.01928310257830712,11.644548900114,-0.04812466450299979,-0.004115796463233901,2.28996277701415,-0.45967079571403024,-0.1671752921091758,3.42234676748117,-0.26333470602580045,-0.07144803692849622,4.96711143143954,0.06902165029694096,0.014091544536948053,8.38346545347313,-0.11552695419401005,-0.013593017695814225,3.7964624148316095,-0.11802838426215034,-0.03015165709151113,9.4111866615821,0.3771326109014197,0.04174566687178549,8.20591188128986,-0.14621617389004093,-0.01750645738715173,9.62832000280552,0.14235457335045965,0.015006861917125747,8.100486374876079,0.2933653850057585,0.03757664129791216,5.32080809478108,-0.13899819702487015,-0.025458448449623194,GTM2011
16,2012,GTM,6.703838461869999,1.5435662754622301,0.29912497242451774,2.47227642725617,0.08504152289410971,0.03562344147143537,11.855314974207499,4.868714889731149,0.6968646882407128,3.3532913620998697,0.14213220653977965,0.044261962629189355,8.58423728702653,0.63620471910889,0.0800455601650325,12.1300978864996,0.5725100915535997,0.049535430897090116,4.063998701295049,0.016885703446209988,0.0041722836637339,11.264779652199099,-0.010981024145801044,-0.0009738610512404211,14.3599654297437,-0.5265843734318008,-0.035373164392965895,10.000004692396699,7.767301637099219,3.478878043665472,11.667571861544001,0.023022961430001487,0.001977144982385326,2.019584289648,-0.2703784873661501,-0.11807112765330308,3.9171239000740803,0.49477713259291045,0.14457247211014335,4.968363167441839,0.0012517360022989976,0.00025200481599352287,8.816441869578039,0.4329764161049088,0.051646472274247124,3.74009646759206,-0.05636594723954946,-0.014846965696102998,9.214628235387641,-0.19655842619445885,-0.02088561551933088,8.29381564663693,0.08790376534707,0.010712248269140856,9.73552038377625,0.10720038097072937,0.011133861456567029,6.91387420280626,-1.186612172069819,-0.14648653391358513,5.46621520705461,0.14540711227352965,0.027328012903933274,GTM2012
