,ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change
90,BLZ2002,Belize,BLZ,2002,2.223254849,0.36608461599999975,0.19711957982906125,0.5439987199999976,0.008827851780818241,10.0,0.899999618999999,0.09890105289216457,4.240266607,0.5888487409999996,0.16126577746223902,11.6513655306955,0.9343038873324012,0.08717910920210126,7.0301475298996605,0.3697786573155213,0.055519245914085864,16.262320281632302,3.124026487186901,0.2377802274833947,6.61608928693243,-0.8040421831501403,-0.10835956025738623,11.3864505565119,1.4218519698819492,0.14269034096262811
91,BLZ2003,Belize,BLZ,2003,6.513856447,4.290601598,1.9298739413207056,0.55900192,0.008991939801157313,10.10700035,0.10700034999999987,0.010700034999999941,2.318082747,-1.92218386,-0.4533167458920584,11.351761023618801,-0.2996045070766993,-0.02571411104452881,6.76699435651768,-0.26315317338198074,-0.03743209829705185,15.0920141568839,-1.1703061247484021,-0.07196427720527797,6.8145269312744405,0.19843764434201014,0.029993193219739037,10.4642167501126,-0.9222338063992996,-0.08099396750744903
95,BLZ2007,Belize,BLZ,2007,-1.491000368,-3.386579456,-1.7865672170783096,0.7010040300000071,0.010860534438200231,8.5,-0.899999618999999,-0.09574464419986263,2.318082746,9.431850459,-1.3258586503694572,9.67309182930312,-0.3502736038032808,-0.03494570821955212,7.2556212164257685,0.07937651816097979,0.01106101052827424,11.274757660397,-0.36036498322240185,-0.030972168859777605,6.790950356453941,-0.5060763615458095,-0.06935377669612453,9.678203953012947,0.0006251371701289088,6.459644318312917e-05
96,BLZ2008,Belize,BLZ,2008,0.612759462,2.10375983,-1.4109720394113276,0.6640014599999944,0.010176735224736387,8.199999809,-0.3000001910000005,-0.03529414011764709,6.394431002999999,4.0763482569999985,1.7584998913580625,9.24554606341342,-0.4275457658897004,-0.044199494167368236,6.91232836338245,-0.3432928530433195,-0.047314053862975936,10.998343566556699,-0.2764140938403017,-0.02451618936442568,6.95628534115649,0.16533498470254934,0.02434636921552813,7.894058005860001,-1.7841459471529475,-0.18434680192883526
97,BLZ2009,Belize,BLZ,2009,-1.777689555,-2.390449017,-3.901121345719832,0.638999940000005,0.009694890228473252,12.85000038,4.6500005710000005,0.5670732535745113,-1.104310449,-7.498741451999999,-1.1726987825002575,12.0554485626983,2.8099024992848807,0.3039195824683909,7.51287125242362,0.6005428890411704,0.0868799711863375,14.4835676442535,3.4852240776968006,0.3168862707921332,6.612975450882809,-0.3433098902736811,-0.04935247383290997,9.57249897467451,1.6784409688145088,0.2126208051129788
98,BLZ2010,Belize,BLZ,2010,0.8573755059999999,2.635065061,-1.4822976562969117,0.6229934699999973,0.009361283868491109,13.23600006,0.3859996799999994,0.030038884714803427,0.917977379,2.022287828,-1.8312674935125963,12.054803773301304,-0.0006447893969987463,-5.348530945537e-05,7.51213859642517,-0.0007326559984504044,-9.752010567387616e-05,14.4832226312531,-0.0003450130004001295,-2.3820995549872492e-05,6.612975450882809,0.0,0.0,9.57249897467451,0.0,0.0
99,BLZ2011,Belize,BLZ,2011,-0.248343185,-1.105718691,-1.2896550965849496,0.7830047599999972,0.011656540582745343,13.63500023,0.39900016999999893,0.03014507163729929,1.602056156,0.6840787769999999,0.7452022159251919,8.899706365321961,-3.155097407979341,-0.2617294704512052,6.8437864740629815,-0.6683521223621893,-0.0889696208054842,10.449530526711197,-4.033692104541902,-0.2785079127236272,5.8132987448594,-0.7996767060234093,-0.12092540067068525,8.40082418470643,-1.1716747899680795,-0.12240009563520693
100,BLZ2012,Belize,BLZ,2012,1.50928183,1.757625015,-7.077403855475238,0.7900009200000113,0.011625182546350254,14.27000046,0.6350002300000009,0.04657133988181839,1.300606735,-0.30144942100000005,-0.1881640789375676,8.878288332405841,-0.02141803291612021,-0.002406599952508137,6.62759771633962,-0.21618875772336035,-0.03158905651757049,10.6425338719441,0.19300334523290094,0.01847004941892316,5.771086178722558,-0.042212566136840664,-0.007261379122166845,8.897702606272789,0.4968784215663593,0.059146389763866214
101,BLZ2013,Belize,BLZ,2013,-0.887754493,-2.397036323,-1.5881966345543297,0.4789962699999961,0.006967623638775011,11.68000031,-2.59000015,-0.18149965427541406,0.509747769,-0.7908589659999999,-0.6080692531551437,10.2388667351709,1.3605784027650591,0.15324782793986702,5.541240944790161,-1.0863567715494593,-0.16391410855718735,17.2245404767215,6.582006604777401,0.618462359056138,4.4358617022648605,-1.3352244764576984,-0.23136450143138446,11.1329081650647,2.235205558791911,0.25121153827012765
102,BLZ2014,Belize,BLZ,2014,1.857621598,2.745376091,-3.0924947298464422,0.4410019000000034,0.006370558465105924,11.60000038,-0.07999992999999961,-0.006849308893554285,1.201399645,0.6916518759999999,1.3568512077195574,10.2367080818716,-0.002158653299300539,-0.00021082931882343559,5.53118909923084,-0.010051845559321038,-0.0018140062234203171,17.171378695823698,-0.053161780897802664,-0.003086397629570969,4.43711890517353,0.0012572029086692638,0.00028341796770336986,11.108724609465801,-0.024183555598899176,-0.00217225860847281
103,BLZ2015,Belize,BLZ,2015,0.137190447,-1.7204311509999999,-0.9261472588670882,0.15100096999999835,0.002167498768380849,9.970000267,-1.6300001130000012,-0.1405172465175386,-0.885281552,-2.086681197,-1.736875156975762,11.146546517743301,0.909838435871702,0.08887998256812213,7.208659688785058,1.6774705895542192,0.3032748581652156,14.9603932060139,-2.2109854898097967,-0.12875992830718586,6.55576516008039,2.11864625490686,0.4774824159966935,14.4907421067243,3.3820174972584987,0.30444696543981875
106,BOL1997,Bolivia,BOL,1997,2.908530723,0.5854666380000002,0.25202345547862937,1.1050033500000043,0.01592981390939929,2.079999924,-3.1500000949999998,-0.6022944710432896,4.70844436,-7.717042259999999,-0.6210655965440168,9.309265171882462,0.0,0.0,8.39812354120632,-8.88178419700125e-15,-1.1102230246251563e-15,9.8325404220974,0.0,0.0,9.99134018525591,0.0,0.0,9.98893841778261,0.0,0.0
107,BOL1998,Bolivia,BOL,1998,2.995846135,0.0873154119999997,0.03002045373271445,-0.08699798000000669,-0.0012345041981477456,2.674000025,0.5940001009999998,0.2855769820691589,7.673228957,2.9647845970000004,0.6296739156964362,9.03689301025109,-0.2723721616313721,-0.029258180597759757,7.78479630518453,-0.6133272360217905,-0.07303146149403883,9.719805743368608,-0.11273467872879195,-0.011465468118029287,9.992517418934993,0.001177233679081624,0.00011782540252402995,9.998241289809279,0.009302872026669462,0.0009313173870517666
108,BOL1999,Bolivia,BOL,1999,-1.493332427,-4.489178561999999,-1.498467664795475,-0.10600280999999256,-0.0015060425769277686,4.329999924,1.6559998990000002,0.619296889871944,2.159516268,-5.513712689,-0.7185648597087729,9.136191940095813,0.09929892984472133,0.010988171458053086,7.92253139085721,0.13773508567267978,0.017692831035405643,9.83210039598357,0.11229465261496152,0.011553178693059385,9.99276907822987,0.0002516592948786922,2.5184774199216164e-05,9.98040405738496,-0.017837232424318117,-0.0017840370028375796
109,BOL2000,Bolivia,BOL,2000,0.580452861,2.0737852880000003,-1.3886963481842347,-0.13199615999999992,-0.0018781735832663624,4.8000001910000005,0.4700002670000005,0.10854509821002956,4.608229989,2.448713721,1.1339177005912695,8.45603194304618,-0.6801599970496319,-0.07444677186176751,5.88050369437497,-2.04202769648224,-0.2577493979814064,9.58396213790477,-0.2481382580788001,-0.025237563499673432,9.755510735337367,-0.2372583428925008,-0.023743002668738637,9.99261655758791,0.012212500202949172,0.0012236478736462608
110,BOL2001,Bolivia,BOL,2001,-0.193522175,-0.7739750360000001,-1.3333986065063086,0.1719970699999891,0.002451951790201967,5.400000095,0.5999999039999997,0.12499997502604265,1.589653779,-3.01857621,-0.6550402686509664,8.71480222768772,0.2587702846415407,0.030601857512416286,6.47319774752543,0.5926940531504599,0.1007896744827157,9.242607464406381,-0.3413546734983885,-0.03561728109800477,9.76821036978962,0.012699634452250308,0.0013017908335899444,9.99382365316223,0.00120709557432086,0.00012079874849235671
111,BOL2002,Bolivia,BOL,2002,0.6264974520000001,0.8200196270000001,-4.2373419325201365,0.17900086000000215,0.0025455546778121447,5.400000095,0.0,0.0,0.928258852,-0.661394927,-0.4160622493635452,9.24730791250921,0.5325056848214906,0.06110358799992865,6.145299260679638,-0.3278984868457906,-0.05065479221164526,10.7381811341307,1.495573669724319,0.1618129597609579,10.2242791862442,0.4560688164545805,0.046689086249112284,10.024281301787,0.030457648624768293,0.003047647195088432
112,BOL2003,Bolivia,BOL,2003,0.8801690520000001,0.2536716,0.4049044400582813,0.18000030000001746,0.002553268137981624,5.452000141,0.052000045999999855,0.009629637978737726,3.337274997,2.409016145,2.5951986774051248,8.557929280860469,-0.6893786316487418,-0.07454911615046267,5.0815930334153885,-1.0637062272642501,-0.1730926651644642,9.858598892928859,-0.8795822412018417,-0.08191165991846971,9.99179040019477,-0.23248878604943,-0.022738892572712777,10.0,-0.024281301786999162,-0.0024222486436679125
113,BOL2004,Bolivia,BOL,2004,2.345784398,1.4656153459999999,1.6651521008034718,0.1749954299999814,0.002475953288628041,4.3000001910000005,-1.1519999499999996,-0.2112985913805756,4.437380801000001,1.100105804000001,0.32964193990274304,8.95656845763875,0.3986391767782821,0.04658126559538478,6.3993084388225805,1.3177154054071911,0.2593114790464717,9.842380160171599,-0.016218732757259602,-0.0016451356763172995,9.99182291913325,3.251893848066345e-05,3.254565716259705e-06,10.0,0.0,0.0
114,BOL2005,Bolivia,BOL,2005,2.617248951,0.27146455299999994,0.11572442600924825,0.16600035999999818,0.002342884104088005,5.400000095,1.0999999039999997,0.2558139197998932,5.393231069,0.9558502679999991,0.21540866354868404,8.67235636320235,-0.28421209443640016,-0.031732252790856015,5.8950069998385,-0.5043014389840801,-0.07880561529502828,9.703293256675169,-0.13908690349643038,-0.014131429718520994,9.589382586050851,-0.40244033308239935,-0.04027696811077086,9.91124593133564,-0.08875406866435931,-0.008875406866435953
115,BOL2006,Bolivia,BOL,2006,3.014236856,0.396987905,0.15168136941971788,0.4300003100000112,0.0060547223561833174,5.3000001910000005,-0.0999999039999997,-0.018518500414952288,4.285549266,-1.1076818029999993,-0.20538370947369453,8.437052205020983,-0.2353041581813695,-0.027132667100695732,5.482434449189942,-0.4125725506485596,-0.06998677875358973,9.70439018041569,0.0010969237405209498,0.00011304654115917856,9.48580944664727,-0.10357313940358104,-0.010800814179032005,9.88221124289142,-0.02903468844422008,-0.0029294690743595364
116,BOL2007,Bolivia,BOL,2007,2.813211774,-0.20102508200000055,-0.06669186650008918,0.3820037799999909,0.005346524001263786,5.199999809,-0.10000038200000104,-0.01886799592381394,8.706247231,4.4206979650000005,1.0315359107109607,8.42918206069923,-0.00787014432175148,-0.0009328073514903724,5.58342420084665,0.10098975165670954,0.018420603582707917,9.73407722250678,0.029687042091090632,0.003059135251074485,9.47629620818484,-0.009513238462430351,-0.0010028915841011619,9.871816923625712,-0.010394319265708774,-0.0010518211977289527
117,BOL2008,Bolivia,BOL,2008,4.396997725,1.5837859510000007,0.562981417054172,0.3389968900000042,0.0047193674591641255,2.900000095,-2.2999997139999997,-0.4423076535539926,14.00040758,5.2941603489999975,0.6080875270977011,8.47971715028954,0.05053508959031028,0.005995254252002535,5.4890681939576105,-0.09435600688903988,-0.016899308290910797,9.72269995889254,-0.011377263614241072,-0.0011688076182440055,9.49862034358976,0.0223241354049204,0.0023557869988950486,9.78207588640147,-0.08974103722424154,-0.00909063021716594
118,BOL2009,Bolivia,BOL,2009,1.674131284,-2.7228664410000003,-0.6192558221075724,0.29900360000000603,0.004143045691863412,3.400000095,0.5,0.17241378745541036,3.349369826,-10.651037753999999,-0.7607662629204685,8.59416684617415,0.11444969588461085,0.01349687658870824,5.37698738733663,-0.1120808066209804,-0.02041891313071309,10.7577002710687,1.0350003121761606,0.10645194406411074,9.122414923756091,-0.3762054198336688,-0.03960632241581852,9.4666453737496,-0.3154305126518704,-0.03224576422376413
119,BOL2010,Bolivia,BOL,2010,2.4522738580000003,0.7781425740000003,0.4648037949214981,-0.15399933000000487,-0.002125037274402719,5.989999771,2.589999676,0.7617645893036364,2.501767027,-0.8476027990000001,-0.2530633650606011,8.96093585331158,0.3667690071374299,0.04267650532066458,5.29817480585338,-0.0788125814832501,-0.014657386340325429,11.6743946551805,0.9166943841117998,0.08521285786118415,8.991432900491109,-0.13098202326498232,-0.014358261968975604,9.75742410806018,0.2907787343105799,0.030716132571828588
120,BOL2011,Bolivia,BOL,2011,3.53285763,1.0805837719999998,0.44064563526411815,-0.2130050600000004,-0.002945516874962806,2.700000048,-3.289999723,-0.5492487226674386,9.812689841000001,7.310922814000001,2.922303609847681,8.79589443903124,-0.16504141428034025,-0.018417876992094292,4.9678791816233305,-0.33029562423004943,-0.062341397997125673,11.435790613576698,-0.23860404160380175,-0.020438236726725845,8.99405468636099,0.0026217858698807106,0.00029158710284504785,10.1473785028666,0.3899543948064199,0.03996489139836568
