ctry,year,gdpgrowth,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change
Ecuador,2000,-0.7485859690000001,5.794842182,-0.8855972814669636,67.77200317,0.4610061600000108,0.0068488981069694255,9.0,-5.399999619999999,-0.37499998350694397
Ecuador,2001,2.201541046,2.950127015,-3.9409328215714923,68.11799622,0.3459930499999899,0.005105250454706223,10.71000004,1.7100000400000006,0.19000000444444454
Ecuador,2002,2.35038446,0.1488434139999999,0.06760873901053754,68.49500275,0.3770065300000027,0.005534609808286017,9.069999695,-1.6400003450000007,-0.15312794947477892
Ecuador,2003,1.04137934,-1.30900512,-0.5569323411881306,68.92800140000001,0.432998650000016,0.00632160935273518,11.43999958,2.3699998850000004,0.2613009883899451
Ecuador,2004,6.448472842999999,5.407093503,5.192241957671255,70.97100067,2.0429992699999815,0.029639612762658363,8.550000191,-2.8899993889999998,-0.2526223334878829
Ecuador,2005,3.5620150639999997,-2.8864577789999997,-0.4476188160012694,69.84700012,-1.124000549999991,-0.015837462335163588,7.739999771,-0.8100004200000006,-0.09473688911172573
Ecuador,2006,2.66753642,-0.8944786439999999,-0.2511159071280109,71.04900359999999,1.2020034799999877,0.01720909241534918,7.690000057000001,-0.04999971399999925,-0.006459911560635523
Ecuador,2007,0.478152631,-2.189383789,-0.8207512267067754,68.96600342,-2.083000179999985,-0.029317795809313596,6.099999905,-1.5900001520000009,-0.20676204684194588
Ecuador,2008,4.574821686,4.096669055,8.567701586065308,67.84400177,-1.1220016500000014,-0.016268909235860107,7.3000001910000005,1.2000002860000007,0.19672136142434926
Ecuador,2009,-1.101802097,-5.676623783,-1.240840446387619,67.47200012,-0.3720016500000014,-0.005483191443528601,6.46999979,-0.8300004010000004,-0.11369868209363732
Ecuador,2010,1.8379780369999998,2.939780134,-2.6681562342316,65.12599945,-2.3460006700000093,-0.03476998852601987,5.019999981000001,-1.4499998089999995,-0.2241112605971196
Ecuador,2011,6.143477932000001,4.3054998950000005,2.342519773537425,64.58100128,-0.5449981699999995,-0.008368365546826184,4.210000038,-0.8099999430000002,-0.16135457092942962
Ecuador,2012,3.9818606439999997,-2.161617288000001,-0.35185562834703454,64.14900208,-0.4319991999999928,-0.006689261414932202,4.1199998860000004,-0.090000152,-0.021377708120581262
Ecuador,2013,3.325690087,-0.6561705569999998,-0.16478993507438278,63.79999924,-0.34900284000000426,-0.005440503027073773,4.150000095,0.030000208999999778,0.007281604327694868
Ecuador,2014,2.413080658,-0.9126094289999997,-0.27441204836474586,64.11399841,0.31399916999999533,0.004921617143266888,3.799999952,-0.3500001430000004,-0.084337381924807
Ecuador,2015,-1.338979877,-3.752060535,-1.5548840120867604,64.18900299,0.07500458000001231,0.00116986277349862,4.769999981000001,0.9700000290000008,0.255263168750693
Ecuador,2016,-2.914961487,-1.5759816099999997,1.1770017138203785,64.26899719,0.07999419999998736,0.001246229046624192,5.361000061,0.5910000799999997,0.12389938833419034
Grenada,1996,3.8776830660000003,2.6140993500000005,2.068797909389963,,,,,,
Grenada,1997,4.676948953,0.7992658869999998,0.20611944643131386,,,,,,
Grenada,1998,11.53673068,6.859781727,1.4667215306251813,,,,,,
Grenada,1999,6.76824734,-4.7684833399999995,-0.41333055891359327,,,,,,
Grenada,2000,4.705259601,-2.0629877390000004,-0.3048038340454621,,,,,,
Grenada,2001,-2.245154083,-6.950413684,-1.4771583872912861,,,,,,
Grenada,2002,3.183035888,5.428189971,-2.417736052995878,,,,,,
Grenada,2003,9.169931011000001,5.986895123000001,1.880875784520844,,,,,,
Grenada,2004,-0.91940779,-10.089338801,-1.1002633268338773,,,,,,
Grenada,2005,12.95068087,13.870088659999999,-15.085894214579147,,,,,,
Grenada,2006,-4.305862942,-17.256543812,-1.3324815880510537,,,,,,
Grenada,2007,5.815487376,10.121350318000001,-2.3505974189923484,,,,,,
Grenada,2008,0.614917652,-5.200569724,-0.8942620605561435,,,,,,
Grenada,2009,-6.941623435,-7.556541087,-12.288704125540374,,,,,,
Grenada,2010,-0.873382368,6.068241067000001,-0.8741818284759781,,,,,,
Grenada,2011,0.383151294,1.256533662,-1.4386982243268736,,,,,,
Grenada,2012,-1.535751848,-1.918903142,-5.0082126096121184,,,,,,
Grenada,2013,1.938674264,3.474426112,-2.2623616676904694,,,,,,
Grenada,2014,6.901543645,4.962869381,2.5599294699256396,,,,,,
Grenada,2015,5.768286275,-1.13325737,-0.16420346349921544,,,,,,
Grenada,2016,1.3859207359999999,-4.382365539,-0.7597344046520993,,,,,,
Guatemala,1996,0.654431566,-1.9125976120000003,-0.7450626694824425,60.62099838,,,3.747999907,,
Guatemala,1997,2.05435293,1.399921364,2.139140953356764,60.88800049,0.26700210999999996,0.004404449235994257,2.575000048,-1.172999859,-0.31296688583402354
Guatemala,1998,2.674900133,0.6205472030000001,0.30206455470141647,61.15800095,0.27000045999999855,0.004434378823859442,2.523000002,-0.0520000460000003,-0.020194192244923914
Guatemala,1999,1.533394146,-1.141505987,-0.426747142039938,61.45000076,0.2919998100000001,0.004774515279508895,1.899999976,-0.6230000259999999,-0.2469282701173775
Guatemala,2000,1.265234415,-0.2681597310000001,-0.17487984527625822,61.76300049,0.31299973000000136,0.005093567552951761,1.399999976,-0.5,-0.2631578980609419
Guatemala,2001,-0.020467844,-1.2857022589999998,-1.016177116080106,62.14099884,0.3779983499999986,0.0061201422696619545,1.299999952,-0.10000002399999985,-0.0714285897959186
Guatemala,2002,1.451333725,1.471801569,-71.90799231223377,62.52399826,0.3829994199999973,0.006163393365886227,3.1300001139999996,1.8300001619999995,1.4076924842840297
Guatemala,2003,0.138797076,-1.312536649,-0.9043658439067831,62.92499924,0.4010009799999992,0.006413553054180454,3.400000095,0.26999998100000067,0.08626197161857374
Guatemala,2004,0.7625136220000001,0.623716546,4.493729723816373,63.31399918,0.38899994000000504,0.006181961775101996,3.1300001139999996,-0.26999998100000067,-0.07941175689878932
